 (nan+nanj)
 (-8.218988593875201332e+02+1.260491272957272258e+03j)
 (-1.714155431894113690e+03+2.538875636860159830e+03j)
 (-3.652252823312928740e+03+5.229941274862611863e+03j)
 (-7.952258184721109501e+03+1.102079640664887665e+04j)
 (-1.770030713175704659e+04+2.376301756106132598e+04j)
 (-4.028804236498099635e+04+5.244205767353308329e+04j)
 (-9.380470720119366888e+04+1.184869783808614011e+05j)
 (-2.235007758615810017e+05+2.741602089372296468e+05j)
 (-5.451273431382090785e+05+6.498586280241317581e+05j)
 (-1.361591320111711975e+06+1.578556795185031136e+06j)
 (-3.484163833264819346e+06+3.930825901993573178e+06j)
 (-9.137665551266489550e+06+1.003818514254568331e+07j)
 (-2.457246024789439514e+07+2.629970953584172204e+07j)
 (-6.778624211455366015e+07+7.072283981474788487e+07j)
 (-1.919239378050405085e+08+1.952914571057567298e+08j)
 (-5.580077059116731882e+08+5.540358849506616592e+08j)
 (-1.666935018603013754e+09+1.615681584936936378e+09j)
 (-5.119474408032334328e+09+4.846034121455667496e+09j)
 (-1.617483549855681610e+10+1.495887059552419853e+10j)
 (-5.260931254215476990e+10+4.755354956662421417e+10j)
 (-1.762858690560593262e+11+1.557947191117193604e+11j)
 (-6.090523589185706787e+11+5.264395802373892822e+11j)
 (-2.171469778802175049e+12+1.836286521802235596e+12j)
 (-7.997023656775852539e+12+6.618082606223559570e+12j)
 (-3.045300678470571875e+13+2.466980318620173828e+13j)
 (-1.200480398840009375e+14+9.521967260509715625e+13j)
 (-4.905124936636214375e+14+3.810232821749483750e+14j)
 (-2.080280961411621000e+15+1.582834561663034250e+15j)
 (-9.171669044833350000e+15+6.836654925141868000e+15j)
 (-4.211060298786688000e+16+3.075558330351259600e+16j)
 (-2.017513606601628480e+17+1.443860451042388160e+17j)
 (-1.010918328302529920e+18+7.089578594091537920e+17j)
 (-5.311827874270015488e+18+3.650388159197447680e+18j)
 (-2.936044670223978496e+19+1.977026818533069619e+19j)
 (-1.713609986231791452e+20+1.130421198809424364e+20j)
 (-1.060984004562999050e+21+6.854653179095678976e+20j)
 (-7.009436840056129061e+21+4.433125125686517301e+21j)
 (-4.977749507685527794e+22+3.079908009805256170e+22j)
 (-3.834521642751713555e+23+2.319393895043834808e+23j)
 (-3.237592476186986410e+24+1.913289956362562503e+24j)
 (-3.025614832585913755e+25+1.746884437179384164e+25j)
 (-3.147501028221780372e+26+1.777479470356981483e+26j)
 (-3.637511642958073194e+27+2.014292397068100430e+27j)
 (-4.619710580958592348e+28+2.517197495700425170e+28j)
 (-6.338456628596567015e+29+3.410620914332890771e+29j)
 (-9.220255311571211018e+30+4.914319835545624965e+30j)
 (-1.398045698855534442e+32+7.397319751128849023e+31j)
 (-2.179840210816107228e+33+1.146646397266576256e+33j)
 (-3.459889167039633055e+34+1.810802768569031447e+34j)
 (-5.549891432521406811e+35+2.891091786229404933e+35j)
 (-8.950991374513913517e+36+4.641470978414688344e+36j)
 (-1.446325001551561538e+38+7.464732630033336308e+37j)
 (-2.335494989890518476e+39+1.199485644200122395e+39j)
 (-3.762247554075867270e+40+1.922211420682863741e+40j)
 (-6.038637221522980592e+41+3.068163987222641630e+41j)
 (-9.649083321987491803e+42+4.873555315426666441e+42j)
 (-1.534052660549388934e+44+7.699208952015882110e+43j)
 (-2.425719738560014647e+45+1.209241702186508955e+45j)
 (-3.814094017500458329e+46+1.887767239156899979e+46j)
 (-5.962744708267245956e+47+2.928900517944498224e+47j)
 (-9.268226065437216170e+48+4.516201278774450035e+48j)
 (-1.432397869617157471e+50+6.921123323623903791e+49j)
 (-2.201363552928929167e+51+1.054291790038679963e+51j)
 (-3.364682348746211529e+52+1.596584135894056294e+52j)
 (-5.115627599166196188e+53+2.404093611665812647e+53j)
 (-7.738329756777375670e+54+3.600267400173138979e+54j)
 (-1.164904605386038641e+56+5.363504189888050203e+55j)
 (-1.745574802984489854e+57+7.950776296714103880e+56j)
 (-2.604408647850314322e+58+1.173120826251386407e+58j)
 (-3.870136060799753357e+59+1.723380708925668887e+59j)
 (-5.729529150434719326e+60+2.521533993128452265e+60j)
 (-8.453191832353887308e+61+3.675695243762700533e+61j)
 (-1.243278849880107869e+63+5.340187893142373622e+62j)
 (-1.823483641077961541e+64+7.735204876706306017e+63j)
 (-2.667852301141887882e+65+1.117493281420465968e+65j)
 (-3.894843245164999358e+66+1.610787129646463321e+66j)
 (-5.675808960876778385e+67+2.317477182080906888e+67j)
 (-8.258761597776620112e+68+3.329210240070156281e+68j)
 (-1.200296678472184358e+70+4.777258864084389835e+69j)
 (-1.742938657981068365e+71+6.849974563164938736e+70j)
 (-2.529436087526368358e+72+9.818122165033396565e+71j)
 (-3.669741844320271824e+73+1.407174485984586758e+73j)
 (-5.323929257879404202e+74+2.017393552207473126e+74j)
 (-7.725389799251729306e+75+2.893944548362632302e+75j)
 (-1.121494200752907869e+77+4.154985001977753802e+76j)
 (-1.629105845558763530e+78+5.972261085661249308e+77j)
 (-2.368393119306742911e+79+8.595972499167782475e+78j)
 (-3.446483383242513136e+80+1.239140607165427844e+80j)
 (-5.020780013764001179e+81+1.789299472488539073e+81j)
 (-7.322891979564401522e+82+2.588420760103963004e+82j)
 (-1.069408882518604005e+84+3.751577271549366312e+83j)
 (-1.563788343765595851e+85+5.448083827733726438e+84j)
 (-2.289808675073215404e+86+7.927478311026164894e+85j)
 (-3.357476864419908538e+87+1.155809702701999156e+87j)
 (-4.929666303835416891e+88+1.688440129742711015e+88j)
 (-7.247766693575009487e+89+2.471223952474114595e+89j)
 (-1.066986893463196707e+91+3.623575059454149684e+90j)
 (-1.572764289471930746e+92+5.322636986738643418e+91j)
 (-2.321110218980571485e+93+7.831449414933842927e+92j)
 (-3.429498726843322742e+94+1.154094512879244235e+94j)
 (-5.072727931290623453e+95+1.703259783015078527e+95j)
